Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.745536,4.017857,3.631696,3.997768,3.4784620000000004,133949200
2000-01-04,3.866071,3.950893,3.613839,3.660714,3.185191,128094400
2000-01-05,3.705357,3.948661,3.678571,3.714286,3.2318029999999998,194580400
2000-01-06,3.790179,3.821429,3.392857,3.392857,2.952128,191993200
2000-01-07,3.446429,3.607143,3.410714,3.553571,3.0919659999999998,115183600
2000-01-10,3.642857,3.651786,3.383929,3.491071,3.037585,126266000
2000-01-11,3.426339,3.549107,3.232143,3.3125,2.882209,110387200
2000-01-12,3.392857,3.410714,3.089286,3.113839,2.7093540000000003,244017200
2000-01-13,3.3744419999999997,3.526786,3.303571,3.455357,3.00651,258171200
2000-01-14,3.571429,3.651786,3.549107,3.587054,3.121099,97594000
2000-01-18,3.607143,3.785714,3.587054,3.712054,3.229861,114794400
2000-01-19,3.772321,3.883929,3.691964,3.805804,3.311433,149410800
2000-01-20,4.125,4.339286,4.053571,4.053571,3.527016,457783200
2000-01-21,4.080357,4.080357,3.935268,3.975446,3.4590389999999998,123981200
2000-01-24,3.872768,4.026786,3.754464,3.794643,3.3017220000000003,110219200
2000-01-25,3.75,4.040179,3.65625,4.008929,3.488172,124286400
2000-01-26,3.928571,4.078125,3.919643,3.935268,3.4240809999999997,91789600
2000-01-27,3.886161,4.035714,3.821429,3.928571,3.418254,85036000
2000-01-28,3.863839,3.959821,3.59375,3.629464,3.158,105837200
2000-01-31,3.607143,3.709821,3.375,3.705357,3.2240349999999998,175420000
2000-02-01,3.714286,3.75,3.571429,3.580357,3.115272,79508800
2000-02-02,3.598214,3.647321,3.464286,3.529018,3.070602,116048800
2000-02-03,3.582589,3.723214,3.580357,3.689732,3.21044,118798400
2000-02-04,3.712054,3.928571,3.700893,3.857143,3.356104,106330000
2000-02-07,3.857143,4.080357,3.783482,4.073661,3.544496,110266800
2000-02-08,4.071429,4.147321,3.973214,4.102679,3.5697449999999997,102160800
2000-02-09,4.075893,4.183036,4.015625,4.022321,3.499825,74841200
2000-02-10,4.03125,4.066964,3.928571,4.053571,3.527016,75745600
2000-02-11,4.058036,4.075893,3.866071,3.883929,3.37941,53062800
2000-02-14,3.904018,4.138393,3.879464,4.136161,3.598878,91884800
2000-02-15,4.116071,4.283482,4.113839,4.25,3.6979290000000002,121436000
2000-02-16,4.205357,4.21875,4.004464,4.075893,3.546439,94561600
2000-02-17,4.113839,4.125,4.040179,4.102679,3.5697449999999997,72374400
2000-02-18,4.09375,4.120536,3.959821,3.973214,3.4570980000000002,58360400
2000-02-22,3.933036,4.176339,3.810268,4.064732,3.5367269999999995,105574000
2000-02-23,4.044085,4.25,3.964286,4.151786,3.6124730000000005,118274800
2000-02-24,4.189732,4.254464,3.991071,4.114398,3.579942,94108000
2000-02-25,4.100446,4.178571,3.933036,3.941964,3.429907,62286000
2000-02-28,3.933036,4.107143,3.870536,4.044643,3.519247,82082000
2000-02-29,4.055804,4.1875,4.020089,4.09375,3.561976,92240400
2000-03-01,4.234375,4.716518,4.232143,4.654018,4.049466000000001,269250800
2000-03-02,4.535714,4.569196,4.310268,4.357143,3.7911550000000003,77814800
2000-03-03,4.459821,4.5797989999999995,4.285714,4.571429,3.977604,80841600
2000-03-06,4.5,4.611607,4.464286,4.488839,3.905743,52640000
2000-03-07,4.515625,4.551339,4.325893,4.388393,3.818345,68252800
2000-03-08,4.388393,4.426339,4.234375,4.357143,3.7911550000000003,67807600
2000-03-09,4.316964,4.464286,4.223214,4.366071,3.7989230000000003,69179600
2000-03-10,4.345982,4.569196,4.321429,4.491071,3.907685,62151600
2000-03-13,4.361607,4.517857,4.267857,4.332589,3.769789,75989200
2000-03-14,4.329241000000001,4.4375,4.071429,4.080357,3.550323,107144800
2000-03-15,4.129464,4.294643,4.075893,4.151786,3.6124730000000005,110902400
2000-03-16,4.189732,4.357143,4.089286,4.341518,3.7775589999999997,94525200
2000-03-17,4.290179,4.464286,4.272321,4.464286,3.884379,76260800
2000-03-20,4.410714,4.508929,4.370536,4.392857,3.8222300000000002,51122400
2000-03-21,4.377232,4.883929,4.34375,4.819196,4.193187,131082000
2000-03-22,4.742188,5.15625,4.698661,5.149554,4.480631,141999200
2000-03-23,5.071429,5.370536,5.0,5.046875,4.391290000000001,140641200
2000-03-24,5.087054,5.140625,4.839286,4.953125,4.309718,111728400
2000-03-27,4.915179,5.169643,4.888393,4.984375,4.3369089999999995,69795600
2000-03-28,4.901786,5.071429,4.897321,4.96875,4.323314,50741600
2000-03-29,4.977679,4.979911,4.7795760000000005,4.854911,4.224262,59959200
2000-03-30,4.770089,4.917411,4.479911,4.491071,3.907685,103600000
2000-03-31,4.551339,4.901786,4.5,4.850446,4.220376,101158400
2000-04-03,4.839286,4.982143,4.622768,4.761161,4.14269,82140800
2000-04-04,4.736607,4.75,4.169643,4.546875,3.956239,165082400
2000-04-05,4.516741000000001,4.745536,4.428571,4.65625,4.051407,114416400
2000-04-06,4.665179,4.803571,4.401786,4.470982,3.8902050000000004,64906800
2000-04-07,4.544643,4.709821,4.482143,4.705357,4.094135,60608800
2000-04-10,4.703125,4.741071,4.455357,4.464286,3.884379,53065600
2000-04-11,4.410714,4.459821,4.216518,4.265625,3.711524,135455600
2000-04-12,4.25,4.25,3.745536,3.901786,3.394947,235284000
2000-04-13,3.982143,4.285714,3.875,4.064732,3.5367269999999995,132456800
2000-04-14,3.904018,4.214286,3.892857,3.995536,3.476519,166905200
2000-04-17,3.910714,4.426339,3.895089,4.424107,3.84942,102390400
2000-04-18,4.410714,4.53125,4.263393,4.53125,3.9426449999999997,97731200
2000-04-19,4.506696,4.651786,4.276786,4.325893,3.763964,130037600
2000-04-20,4.417411,4.455357,4.180804,4.245536,3.6940449999999996,180530000
2000-04-24,4.107143,4.303571,4.098214,4.303571,3.744542,110905200
2000-04-25,4.361607,4.598214,4.359375,4.582589,3.987317,97910400
2000-04-26,4.522321,4.571429,4.285714,4.332589,3.769789,91728000
2000-04-27,4.185268,4.535714,4.163505000000001,4.526786,3.93876,81650800
2000-04-28,4.540179,4.553571,4.332589,4.430804,3.8552470000000003,62395200
2000-05-01,4.459821,4.46875,4.352679,4.439732,3.8630150000000003,56548800
2000-05-02,4.401786,4.508929,4.196429,4.209821,3.6629699999999996,59108000
2000-05-03,4.247768,4.330357,3.986607,4.109375,3.575571,122449600
2000-05-04,4.111607,4.116071,3.948661,3.953125,3.439618,99878800
2000-05-05,3.957589,4.098214,3.9542410000000006,4.040179,3.515363,71019200
2000-05-08,4.003348,4.060268,3.928571,3.933036,3.422137,46225200
2000-05-09,3.939732,3.973214,3.745536,3.765625,3.2764740000000003,81785200
2000-05-10,3.716518,3.75,3.526786,3.546875,3.0861389999999997,133772800
2000-05-11,3.620536,3.723214,3.535714,3.671875,3.1949009999999998,124936000
2000-05-12,3.785714,3.946429,3.741629,3.84375,3.34445,76728400
2000-05-15,3.859375,3.859375,3.575893,3.607143,3.138578,169733200
2000-05-16,3.732701,3.895089,3.669643,3.774554,3.284243,110112800
2000-05-17,3.700893,3.703125,3.584821,3.620536,3.150232,99523200
2000-05-18,3.678571,3.747768,3.59375,3.598214,3.130809,93444400
2000-05-19,3.544643,3.544643,3.334821,3.357143,2.9210529999999997,185166800
2000-05-22,3.348214,3.348214,3.071429,3.212054,2.794811,188876800
2000-05-23,3.232143,3.334821,3.058036,3.064732,2.666627,129396400
2000-05-24,3.078125,3.205357,2.964286,3.131696,2.7248919999999996,169615600
2000-05-25,3.160714,3.3091519999999996,3.071429,3.116629,2.711782,101687600
